               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.054047,             0.48864,            0.017359,             0.76216,             0.50261,              0.5535,              0.3343,            0.047328,             0.42836,            0.014875,            0.001882,            0.001882,            0.001882
                  84,            0.055117,             0.49732,            0.018006,             0.72877,              0.5092,             0.55225,             0.33179,            0.047454,             0.43002,            0.014984,            0.001783,            0.001783,            0.001783
                  85,            0.053619,             0.48518,            0.017342,             0.73002,             0.50172,             0.55132,             0.33434,            0.047268,             0.42695,            0.014955,            0.001684,            0.001684,            0.001684
                  86,            0.054637,             0.52366,            0.017774,             0.75157,             0.49915,             0.55423,              0.3338,            0.047295,             0.42771,            0.014947,            0.001585,            0.001585,            0.001585
                  87,            0.053821,             0.47376,            0.017834,             0.74516,             0.50227,             0.55488,             0.33378,             0.04722,             0.42737,            0.014908,            0.001486,            0.001486,            0.001486
                  88,            0.054444,             0.47938,            0.017883,             0.76263,             0.49823,             0.55614,             0.33427,            0.047142,             0.42609,            0.014921,            0.001387,            0.001387,            0.001387
                  89,            0.054505,             0.49439,             0.01788,             0.78038,             0.50009,             0.55639,             0.33363,            0.047159,             0.42674,            0.014904,            0.001288,            0.001288,            0.001288
                  90,            0.053141,             0.49614,            0.017076,             0.74659,              0.5018,             0.55526,             0.33501,            0.047103,             0.42426,            0.014844,            0.001189,            0.001189,            0.001189
                  91,            0.054619,             0.53001,            0.017959,             0.75327,             0.50701,             0.55622,             0.33586,            0.047044,             0.42454,            0.014821,             0.00109,             0.00109,             0.00109
                  92,            0.053725,               0.492,            0.017614,             0.73505,             0.50654,             0.55622,             0.33468,            0.047032,             0.42493,            0.014806,            0.000991,            0.000991,            0.000991
                  93,             0.05275,             0.47772,            0.017246,             0.74692,             0.51059,             0.55585,             0.33443,            0.047064,             0.42539,            0.014826,            0.000892,            0.000892,            0.000892
                  94,            0.053405,             0.50236,            0.017331,             0.74321,             0.50866,             0.55763,             0.33688,            0.046983,             0.42377,            0.014767,            0.000793,            0.000793,            0.000793
                  95,            0.053449,             0.47392,            0.017559,             0.73293,              0.5093,             0.55815,             0.33707,             0.04703,             0.42443,             0.01477,            0.000694,            0.000694,            0.000694
                  96,            0.054839,             0.51382,            0.018058,             0.73645,             0.50833,             0.55828,             0.33796,            0.046989,             0.42567,            0.014769,            0.000595,            0.000595,            0.000595
                  97,            0.053941,             0.51001,            0.017491,             0.74787,             0.50621,             0.56094,             0.33975,            0.046857,             0.42304,            0.014731,            0.000496,            0.000496,            0.000496
                  98,            0.053881,             0.49228,            0.018287,             0.75403,             0.50409,             0.55915,             0.33846,            0.046902,             0.42322,            0.014766,            0.000397,            0.000397,            0.000397
                  99,            0.054106,             0.50169,            0.017425,             0.75475,             0.50851,             0.55989,             0.33867,            0.046899,             0.42326,             0.01474,            0.000298,            0.000298,            0.000298
